,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
11:15:00,29.0712278991,74.4428780921,73.1669835292,84.0269948662,66.7933668374,16.00147664,109.005618523,100.677717847,81.8727084181,81.850802381,59.3520372695,27.4213063014,23.644404873,96.504277172,87.8480334063,79.6184890504,79.8165974931,59.077462107,20.842120781,14.9932343835,86.4524990609,86.83923898,88.2844793548,89.298077807,62.4552927121,26.0222937428,13.7074862879,90.3437946492,88.0692093133,82.9148834201,89.7602229696,39.0948338272,21.5031657967,28.3657137659,76.880605642,86.4130062412,82.8895727998,79.3994899655,62.8759714315,14.1836891443,20.2207383114,83.0677533003,101.131739129,99.0707650179,87.8513604821,44.4708367678,21.9130399192,28.9924234941,84.4041095614,102.054170693,82.1015116086,91.9757017944,54.9885414445,25.3939110326,11.9176302301,7.54596944735,81.2626693812,82.8029974619,71.0000378241,85.3384398855,61.9531737272,15.1568607274,22.4013097656,72.2610215294,99.051338314,87.7755184184,108.225616774,57.3154787216,22.4917507604,30.9947664364,82.1851831182,100.650987163,68.5923244642,79.3755677025,44.9965724084,11.8644094753,18.2613779344,80.6828476141,82.2045800221,72.414302608,106.245865349,68.5890062953,19.9766372597,22.2770828915,96.4422120092,106.9657015,75.7645947209,117.509719537,74.4936366771,28.1677023605,28.5541294069,90.3714674062,99.4948440991,90.1945773846,104.087707641,68.9841920499
11:30:00,33.3746513251,79.5561912562,77.9795806331,87.1650994199,71.3446976664,20.3850665126,109.995094991,106.297720842,85.4666800592,84.9702375879,65.8638819165,32.0873629122,28.7503291013,105.310751098,102.061087271,83.663489883,93.0165229133,66.3133416953,29.2235601523,26.4237824363,88.7581758091,87.3882570316,90.0986149236,96.5635304491,60.7687769584,33.6129362369,20.2781065466,99.9082632719,92.8038988381,84.9462015504,91.8418310964,44.5884716592,29.9663222073,39.5653909861,83.3482391029,91.9928209298,83.3334704367,84.7349106981,72.4750445851,23.2191455955,33.6809371537,89.5230518829,108.885130979,105.459511316,96.8635992082,48.3462594271,37.220567927,52.7454609838,85.2327102453,108.944059168,92.7242731798,98.2382179561,54.9957439451,27.6579529255,17.320428843,16.2923332889,90.5158454727,90.5720587013,70.9999856919,92.2104407847,64.5830622789,22.5246224831,34.2020093407,85.7219071561,108.81562428,101.002469867,110.927206498,63.462673517,28.1239658926,43.3055177329,96.3538869189,112.913192837,73.6420788392,88.7501518971,56.3943395771,18.2814543849,28.3632001942,91.4426243346,86.9305162271,81.2173193928,116.809064689,71.162089761,30.0379437491,36.8844891389,103.193233603,118.344751515,80.8822600449,125.706261397,77.3574967592,38.0549611697,37.8720340227,96.3112173264,106.679273013,99.4635442592,116.57679492,74.2117916369
11:45:00,35.3597332172,83.9055583098,83.6323201585,90.2296532508,75.4516988775,24.7170955089,111.778760646,113.420316841,88.7501009278,91.9677558817,71.2860346186,40.0706080985,37.1771655996,112.208243518,106.457573418,90.6571656135,104.606196052,67.8993237333,38.8988690048,35.5432733006,89.2166163188,88.7011222098,91.0484404386,97.3091289199,63.5707623853,39.2581063934,27.2061182219,109.241764251,102.095502922,91.8320298578,92.9669953694,52.7513621175,36.8376238671,51.606967171,97.6880083127,96.6764992098,86.555320627,87.8877505233,84.9087612814,31.2289763263,44.122514042,97.3049741466,114.675342719,110.779843495,104.426985554,54.0264802093,50.0722392711,69.704215184,86.2953646726,109.224796495,100.546897962,96.6676727235,55.8947204394,28.9028927746,25.0926317985,25.2350761391,101.531139276,105.774199939,70.9997306943,99.1765406027,69.8089203889,26.6007419683,46.517029088,97.716404209,117.571492676,109.807310829,107.547925954,67.4139165164,37.2641292949,53.8369225987,110.199857914,129.296958973,81.2529152365,97.7507323629,63.4585741418,26.4398020715,38.80658539,104.720715625,95.3866330276,94.5146897251,127.580775918,74.9309989631,41.6745248974,47.6719605638,106.699603283,130.334605084,92.338843469,120.317133003,75.0856282051,47.1129775808,49.1074953444,109.924914248,117.717054709,110.217331478,122.036246779,80.8145359929
12:00:00,38.2724281441,83.7998017495,85.567907311,94.1475232603,73.201242838,27.0373113851,121.562501992,102.765827288,97.5805103933,99.6544677521,73.1213680784,46.6834028739,44.4487631138,117.757367455,103.598190989,104.119316968,96.089392084,64.3383388946,49.8372116093,46.7168890973,95.7508005193,93.7101799167,95.9870355893,91.9064321752,68.6288542707,42.7249266071,32.4742395937,104.26780532,109.287647546,105.06261927,95.6796170562,56.635693643,43.683599153,58.7228332288,106.911991499,96.4322759118,94.3483994788,92.8949281886,83.4798767047,39.7692939029,48.7981844394,103.927181429,118.842655657,113.795207996,102.666044643,56.0113113979,59.619591262,78.7235814312,91.3972944372,106.873475659,95.3597392807,91.4633321471,56.5027754823,30.0945427565,33.5237929129,31.8100634104,104.431299197,110.282588679,70.9991639263,98.1237425241,73.617003977,31.4219756344,55.6215707105,107.116932545,125.763252221,105.206451358,95.5792618335,71.6889566727,42.470286614,64.4101959733,110.704979657,127.438868388,94.4524420447,90.5138056287,70.6795178474,33.6828739553,49.1589471109,106.370339516,103.947728058,101.044748641,124.270599703,79.907385267,47.4980079679,54.2427688571,108.564546589,119.907793303,100.080123395,110.897845354,72.0740603682,54.8293751078,59.9099214112,117.32419651,127.687611183,110.917688693,117.295503631,85.2139489117
12:15:00,42.6392242397,81.7366274527,85.9644069791,99.3862698483,71.7768041605,29.9512708795,118.994684242,92.213939947,104.315245969,102.905971926,70.3006857616,53.0968920549,51.7346391905,120.102248896,95.1284922872,106.255413446,91.757494082,62.3346703864,54.2100142276,57.2232653458,99.8504757024,85.9455311346,95.6705991878,84.1087413313,70.5691331217,47.2643064864,35.6529524979,100.426365712,105.532952846,104.464160998,92.5896066859,61.7909304419,48.3955287077,61.9314457261,108.656250265,87.8753874467,103.395341846,98.0178613953,75.6736234765,51.9382582392,52.7156357249,108.293386773,114.376665664,113.709364276,100.851330492,54.7476048577,68.869682668,83.2500246937,95.7529917878,107.417596657,91.8593545341,91.4891168307,55.8477727496,32.3929294983,40.7182024058,34.9830082374,104.27679509,106.421992553,70.9987150947,92.5859685285,74.3757281853,37.8235959956,64.7567777354,115.363103605,120.692226284,100.601679849,89.4168489161,71.9797099058,49.772224907,73.1727075989,106.451419873,120.381585955,99.7624371793,83.674403497,73.6302641548,44.4744873138,55.3745281663,104.803282791,108.215332898,100.516451726,117.426584875,84.2409021124,52.7709704289,60.8562645821,100.992082495,109.367637104,103.374191286,98.3696434428,68.5475661917,58.4658221032,69.7137295739,120.770873957,132.236255007,109.591702602,111.111512334,84.2024822015
12:30:00,46.44175335,82.6141377972,83.8640694295,96.1184068943,69.9593717811,33.9899079605,108.598668627,92.1126880037,100.150624383,99.2889316245,67.5120549767,57.1154147101,57.3067851486,111.87227892,85.4976476403,103.032290611,91.7231009501,65.9159236267,54.5142799027,62.9072593713,101.503788121,81.5169170123,94.8812588676,75.8564931538,72.7599709039,54.6773024254,39.3642595832,98.6218140184,95.4087438699,95.7376077154,86.947640675,68.4951494341,53.4974948681,64.8055947717,112.732863214,84.7565184016,105.681983626,101.728111467,68.0154808091,61.2954414431,57.2861863987,101.452940366,106.581657295,104.135655795,102.92130783,54.6595896581,77.5903897332,83.2828470773,97.7823600986,104.637708171,90.0228225605,90.6822830841,57.9520249529,36.7689941146,45.7325646711,38.0994969338,97.2654984141,97.952001828,71.0004860532,91.849655547,75.2195002017,47.796924298,71.9206522686,117.660663735,110.133233792,96.9818819828,84.2977983167,72.6001787906,54.2591580027,77.4514352713,106.611386971,114.290039772,98.7997944668,76.8399465131,80.52487083,51.9127115134,59.0896771434,99.6906531975,105.895523011,94.5492572836,109.055580861,86.2664324044,57.7599738131,65.2862605878,91.0571367982,103.201870809,99.3288918176,93.8580815535,66.5827978824,63.6252367035,72.1334943605,111.878363412,127.633076392,110.431082513,105.650212484,88.1446898472
12:45:00,50.3831988413,87.8571802561,84.3803309702,95.7439085809,72.9763263151,39.781614837,100.908447892,92.3822247513,93.6524704225,98.5580662198,70.8421715092,58.3495257984,59.9679139263,107.492350813,84.8978428004,99.9059571336,90.5838234281,76.4403632605,56.8269832222,65.1671978071,98.9979326241,88.6430164298,93.0599438865,74.8726417457,71.4314733397,62.2363578455,42.9242585023,94.9057874092,94.4264399688,87.6555900975,86.825182068,75.444566656,58.7225225553,67.0551790222,111.64140842,87.0755784706,104.403477022,98.4615169372,59.6836809615,65.5238991441,66.4898835114,95.868418849,104.008583776,99.268697462,113.111780399,60.6762851527,79.8102233658,82.3213013004,104.399319169,103.479165563,84.1085131301,84.0018535554,59.1422993043,41.4078187228,46.1871792909,40.5390993385,95.0416904479,95.7882216698,71.0091484664,94.029303454,78.5312708436,55.686089796,79.5976409453,118.489152075,104.4766411,92.1325837419,80.6255233169,75.90494609,55.4758499159,80.2279415881,103.454249617,110.565986023,95.6565333746,74.2690482283,88.31686733,56.1466412933,61.191686297,95.0969929031,98.2637080613,97.7297201667,102.311267338,87.8370548236,65.1896387951,67.5940405589,87.8504703057,99.1629545335,90.3036870892,95.7494270853,67.1612752639,68.9788928392,73.3563311518,106.718333785,115.675655534,114.444132531,106.854519009,95.0001614305
13:00:00,50.2832373803,91.6623267075,80.8984890507,93.4259353022,78.1363048157,47.9749677972,101.260677525,92.7173274747,87.0853601107,97.8902318334,81.3536211912,58.1789508586,57.9071681642,97.6428000241,90.5259682394,100.267840461,93.4910703561,85.4344066794,60.1965389687,65.5868885441,95.6125278166,100.508674242,89.8850657671,79.1671549026,69.2938043438,69.8593113172,46.9205277414,94.0862950162,99.2799727562,85.5155233897,90.3984125598,78.3450992759,62.8086469544,70.7789075907,112.415737531,89.3194405442,101.391006985,97.1976934048,55.8254945745,65.7158040854,73.7344013158,99.0965181332,102.045083745,103.031792599,123.815936287,66.4075313791,78.3769150078,81.2989459266,104.953068599,101.61190786,84.3291508915,75.0422847247,61.84131311,46.9564972116,46.2372165052,43.4823914231,92.7186556426,100.942253586,71.0284018924,97.5401010298,78.254990525,60.2413731481,86.4308858633,115.006780297,99.8463469845,87.8755471434,80.2078405655,73.0482369862,52.4487486562,79.5809186046,104.026602533,108.031101351,92.825084437,78.5404291679,88.9100414511,55.4999483655,62.3884935952,95.7055376797,94.8042516953,97.5458806602,100.23616226,88.272983242,72.2646384238,73.2683670045,90.3485702281,100.599606772,84.0002555669,96.7137843299,66.098922395,73.9475910335,75.3023666071,107.60572716,114.895419842,119.776991739,111.366921872,104.439106839
13:15:00,51.1951479509,98.5117885176,74.0431791797,94.8398302904,80.7952917056,57.6553134556,101.175117236,96.0483239568,87.408928625,103.346152148,84.4246468366,61.2843638322,61.3778626505,94.019260374,103.783228828,99.6974537754,94.4286037176,89.5437447544,64.0173954799,67.4157438588,88.6313270564,107.012702445,86.9151482592,87.0047169284,68.1941811514,72.9912857201,52.0921287821,93.1597711534,113.810393908,93.3036426422,92.1931497089,70.0135311499,65.0488581398,75.9651315458,110.806885355,93.8238205718,97.6688044228,99.9932225944,56.2208303663,65.9155307222,75.4476470423,100.957096431,108.061628287,106.810849602,125.203402779,64.1105980693,78.5177493694,82.5067369188,101.994169654,101.747542959,88.6804342336,77.3943259611,56.1871850677,43.2464860238,43.6634879721,47.0317504821,97.326297553,98.8492557458,71.0436489566,96.7386301466,73.2720679728,64.8408754207,97.86824723,113.393455917,97.4129680186,83.7673667203,81.6015200771,73.374384481,49.2526024011,77.1331751996,106.466541205,104.375090352,95.4848114387,81.6947134003,85.5744463301,56.0030218557,61.0046644121,100.005537493,102.474101435,98.0263387156,99.2502489067,83.2203218839,71.8103681573,82.609921316,97.8269831647,110.534636955,81.5129015382,97.9224034087,70.8891128064,77.9943461314,75.1790650822,113.418818054,116.472485659,117.687534154,116.120873015,102.131413098
13:30:00,51.6057347766,95.5631236379,74.642058765,98.8090661734,76.0366617762,61.9580628319,93.6501716799,105.870887031,99.4120909217,109.206087179,80.7262488768,63.9885369441,70.818975845,99.0317656361,107.018892959,103.238629334,94.398044784,82.5452549971,63.2909231565,68.7293989396,80.1130280681,107.036564549,87.9385835783,90.3157023222,71.3922123102,77.3587812993,57.337067623,94.9500601023,121.298809587,101.975136126,93.9383859543,68.5764475824,67.1188522773,85.0443867748,105.734411636,100.285553415,99.4790862727,102.509299421,60.9986079056,66.735845339,78.5887252895,95.0769756877,121.338521001,107.928191669,113.811934586,59.2276921973,80.7061811452,83.6377383869,100.167046401,109.373863034,92.4997597619,92.5641571844,48.6354076554,38.1962471792,43.7723723391,50.3247709636,98.4572084491,89.0598791452,70.9834884992,100.901270617,71.9539308638,70.3799513837,116.495813526,121.815525864,100.654426807,85.6135427189,86.9476507354,70.1312476039,47.0646620158,75.3456830428,104.858956054,103.22545492,97.1649092905,84.6916666584,75.7600522013,58.6863541587,60.5877769317,107.07516695,106.621701411,104.107932964,101.301186039,75.7792084899,72.1229466065,87.3826508756,104.864115259,110.791640966,85.9354181563,101.118965783,76.8273752391,80.6869909109,75.5891577187,119.824426664,115.796129647,115.879650315,123.315980637,100.868753558
