t,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
06:45:00,14.6684488999,17.4719083489,24.1660480388,22.8144062799,24.7716479494,24.7150401202,20.8583261495,24.5376107509,18.0049352779,29.4679807711,25.8852343522,19.4202273988,16.7740713822,19.7186164314,25.9172353079,28.6159347549,33.2340586803,27.0592108858,19.2226846763,16.6773248302,14.9722998134,32.8645580298,29.6150293019,33.3352441429,26.9361241563,26.1297181359,9.13044102642,18.3779600759,28.6973569674,30.5531930451,36.6557230355,26.9918320318,31.2044280797,17.1372927038,19.4725511606,24.4754946734,37.7672820875,25.4462526207,38.7192545393,22.9900616374,11.5595277315,23.3939200324,37.9676026012,23.4522324003,29.2016047041,39.0055146793,31.5762946991,22.0627233054,31.3219011963,46.2073858379,56.861661096,43.0570394571,42.2053224221,34.5026566058,20.5289804236,21.6618753709,20.2459217705,19.1135154027,13.0884815262,11.7184018666,11.4025747692,11.0728378054,11.7832375329,24.4590614232,34.2844496056,402.0,27.4797142024,27.4808808892,16.7316248544,20.1695673168,41.2762434299,37.8861009091,44.2918945179,28.7729602462,25.3780832276,17.6389322606,17.3607181458,37.3822449649,28.1126688688,51.2371848789,32.8693157377,19.7782864377,14.6376396946,15.8301737956,29.6354484936,27.7601670675,32.5582840303,30.9544248619,23.413068488,14.7927553045,18.3495321581,31.2350065972,41.8191933934,34.0753317706,17.6240715905,29.1549358872,16.3896957999,20.1492244637,33.4623159018,35.2246525023,49.3095144548,60.8129493694,35.6247860243
07:00:00,14.1744471541,20.8043623894,22.2307896603,24.8731915571,28.2364554267,24.4750629509,20.1327531644,25.9201573889,23.2094848247,30.8657672508,27.1200708668,21.789732556,17.3553847196,18.7958910635,25.0140865661,30.131302312,35.4335984203,32.2397515048,19.1048489459,16.5273274382,15.0505058543,31.2589437163,31.6486211759,32.588204976,28.5826527303,25.2583941486,11.1494875017,17.7969860863,27.139974363,34.775083574,38.8442750432,25.7095628504,26.5092884518,16.6296749589,19.3414528388,32.0321905445,32.8970652526,27.1477026498,38.4611433471,20.8649043779,12.5333333094,21.4959357234,37.5359813072,22.856182229,32.5029128734,38.2764501896,32.7069987519,18.2082051545,29.4648694774,48.1079597834,56.7154569798,45.9412445129,46.0206278391,33.6200562713,21.138530995,20.4818415596,21.3395147883,20.9560364349,14.99907153,13.7172376947,12.8003723537,10.9738323577,11.5200785101,26.447259987,37.0431414115,402.0,27.8462714809,28.3107677746,17.1303206756,23.4035157958,44.3400737311,42.8020558394,43.781054582,27.7401292508,26.5964592772,16.5167782628,17.6660909023,41.4642252372,33.0347259252,49.0795687266,37.0592714779,20.178965791,17.5690242825,16.1446302945,33.5190724738,30.916718281,31.023260266,32.5592206789,28.9456690917,13.7583830859,18.6274945612,32.1340105748,43.6496223141,34.324925812,21.930573676,29.0082250834,16.7704991218,20.281081493,29.5452864077,38.4254665583,47.7172162842,56.8662884629,36.657234722
07:15:00,14.3435476085,21.1929997322,19.963435204,29.3031642745,32.1579670054,24.8050055412,19.6905278803,28.2274825252,28.4041638157,31.3275921882,28.5844386769,23.3187829155,18.3885552924,18.4359328328,26.2764672083,32.4148003594,35.1650207998,33.3018703524,20.5416438629,17.0226803859,15.1841122685,31.9242133433,34.4521544462,33.1706775233,30.3569329916,26.1276338895,12.9076519242,16.4600919448,26.1878778236,39.8905880127,37.7213809799,22.4436296054,23.4052926644,15.8474718066,18.2652521957,36.6378970688,32.4922842427,27.9566474376,40.7645230764,18.7596238437,14.3880834244,20.8101113496,41.1691548109,23.355667257,37.4010116344,39.5363563413,32.6851134064,16.2282403928,28.9640353659,49.5937620532,62.8459306715,48.7113706547,49.4252884119,35.7321427252,20.6901207191,19.9780570065,21.941264265,22.5715266616,16.7326984815,14.2792697898,13.3930203999,10.7291512993,11.6904444213,31.5173357043,41.2329340062,402.0,29.2534003548,32.1788928817,18.0657667881,26.2983296413,46.8514171725,47.9458089514,42.6864256104,29.161377763,27.0586688716,16.1167597439,17.2500273672,44.7817155796,35.7314452439,46.4475828167,39.5105957425,21.0230722687,21.2251294813,16.7987392023,36.1317994668,32.5529353595,34.3716684411,36.2551667722,29.6521327193,13.1385002584,18.2063926482,32.5630013581,45.8416644479,36.4238563123,26.9889325807,30.551642505,16.3719108437,22.114489595,28.7036251099,41.1769756096,47.5058892039,47.2937288177,36.4401113712
07:30:00,13.4899581551,22.0852789006,20.5703092718,32.7291287582,34.5199759331,25.3246617489,21.5494916693,30.5440498801,33.1601320455,32.1859595395,34.2677273446,23.5874585678,19.6146708971,17.6097267495,29.8417334866,33.9719547631,35.0930116176,33.6476426473,22.8780021828,17.7540791364,15.3275077208,34.6133634186,39.498328157,35.235763547,33.2214111669,27.9612127895,13.8450772375,16.017385327,26.1664046885,43.2431531232,38.2870446882,17.7912425323,22.4650076548,15.2567479213,16.6159412326,41.2772438106,35.2242443773,28.6851764432,43.2685979544,16.9642880041,16.9380559947,21.5567353996,47.8599552953,26.3338582257,40.4868658319,42.2213033966,32.9440517609,15.5809721004,30.2458575145,52.0341014045,74.0988460196,55.3708499423,55.9674036182,40.5934902131,19.8487267588,19.8630878506,22.8802970832,23.8208824074,18.1142562681,14.5332190291,14.774624662,10.2454543041,11.6877031808,37.8566457547,44.1986453552,402.0,31.0491294573,35.5019588827,17.814072132,25.7078426283,45.5776394321,55.9410467482,38.8621094033,34.0105267884,24.8156270012,16.1274556571,16.058909444,51.6417755881,39.9080372368,46.707719938,40.3661141005,22.3961014136,25.1926273368,17.8428923384,39.1645875375,35.3150476059,39.4404199629,41.0149720601,28.8149842114,13.8308300413,17.1321729804,37.7839446031,49.4576883801,41.5716081063,35.6898577715,33.458866211,16.8735411224,22.7888368563,32.9221273893,46.1789415351,50.6220717358,38.7367947692,36.409374479
07:45:00,13.2407914693,24.5426589537,21.3308660576,37.169560785,34.9903414468,26.0438143492,22.3464301431,33.4993581237,44.2402216775,36.1181888846,38.9904490777,25.5382737722,19.9977087452,16.4163921581,39.2943072363,38.4786906704,35.5522150728,38.0754029037,26.3755689354,18.2668583809,15.0668563386,39.2309637633,43.3555324603,40.5952097629,37.4246674997,31.727638501,13.5866025372,17.198790019,27.0251366497,46.3950496421,44.0985080505,19.462352656,25.4504150312,15.6286243644,16.2350075593,45.6590661967,42.7796824907,34.2320842503,44.0835260557,18.2497171409,17.2213620899,20.3358736627,54.2629053218,32.4625913622,43.5494170423,50.6946489354,37.5470001006,17.2680625721,31.8087238439,59.6107624885,81.6281055293,64.5003731266,64.344496112,46.4943875303,19.8990848389,19.8933862175,25.103211595,25.4219466741,17.5032418144,17.0492667106,17.7532500946,9.97109844754,11.5243338598,46.617875909,50.8192254117,402.0,34.0746867124,38.3388826867,18.519812071,23.8892292489,47.583271843,63.5198378299,44.7893565402,44.9386418071,23.800910913,16.0039254678,15.5390643022,58.7880336992,45.806821828,50.3313072462,42.7474606354,24.3374042306,26.6079309326,17.7300031182,40.0447958177,40.7434136039,48.3230893567,49.3010119168,28.4124829698,14.456095137,17.0379968228,51.9328032496,53.8767337999,48.1199534045,38.946193554,40.3002892501,19.2111784269,21.2145321736,40.7783384072,51.7771749944,54.0005239944,35.2495530175,39.1207598106
08:00:00,14.2432439157,29.4560411491,24.3839412114,41.1846786154,38.1969709173,26.3229226197,23.6191455745,40.634806166,52.0870007839,41.429680724,43.0376613952,30.9388256527,21.2723042539,15.7355949045,50.5351433193,49.6670237024,42.6912521293,46.088200341,25.5399847848,20.598194538,15.3333068081,48.4548573611,51.5955011941,50.5892357926,46.7724598995,34.4729930968,14.0669124435,18.6994591529,32.3808460223,52.4222420596,56.1389235734,27.5844259366,29.1934810921,15.2207263548,17.7320563204,54.9377120325,46.3968466627,44.1258125567,46.7822695457,23.4581555277,18.40000079,20.634121129,59.3126168611,39.7459864428,49.4038751778,64.8771437442,44.6690411887,21.1292299015,33.6593072458,72.4373271469,92.3899196669,75.9389310736,79.3192813109,52.5381430461,20.4284771665,20.0992285322,29.7960119866,28.4507976481,19.030639509,21.3311560741,19.587712328,9.8635321969,11.8374091683,59.2404204287,67.5763334189,402.0,41.0730411296,43.7446634375,20.6994177053,21.6839787388,52.7775668739,77.5321573,61.2251987942,52.5757347222,28.3168438518,16.9463173274,17.019000223,69.6805671736,55.8540444679,54.3742320209,45.04404123,28.0941288978,26.2221986783,17.2272002799,41.8706083638,49.7482967256,58.2324112217,53.5457175958,32.7929199735,15.9733581655,19.2926794797,67.5776510311,57.5624636361,57.2774482045,40.291068691,48.7285722491,20.5735289814,20.7243107311,51.0055485463,55.9596035769,61.3318626221,37.4124807239,48.3112541727
08:15:00,16.6629289208,34.6310088375,33.2066382681,52.9955789399,44.7870888214,25.4348171396,22.2125799504,50.4930766693,66.6625940821,50.1894577893,50.7135236608,40.4801637884,23.1776753499,17.6142165179,64.8765821252,72.3115881394,53.5543136054,63.0382783714,26.1257525242,26.2515472645,16.9242951382,58.5009596695,63.0789032758,59.3676417323,54.2212112767,35.788081648,14.0474865026,20.816965823,37.8000318219,61.6105955815,69.194427662,37.3602230222,35.6253420738,15.0334303827,19.2466775421,72.9493967302,55.7546199917,61.4306345592,54.7707384788,28.9324131563,21.1932469954,23.2663254631,67.41789124,49.2629805187,61.7666160662,85.3002407387,49.3912575876,26.4680670381,38.1868329243,95.4058522449,100.08428784,88.5247683961,88.9654824087,56.8392900688,21.2260162708,20.7241187841,33.9382792536,29.139620168,21.8209501113,26.7840969382,22.0303268034,9.93800712436,12.2153340964,75.9279217573,83.313177796,402.0,56.6377882931,56.0965349054,23.8296959926,20.1551218363,61.9032333075,93.7883046026,77.3479548576,61.6745338225,35.0639272361,18.1469284514,20.7490968833,84.2033858734,70.8623069512,63.2297670494,50.1503404961,34.238615132,25.5707271183,17.6416063257,47.6506175971,65.7531331353,73.734941444,59.5794965174,43.4796202616,16.4294914728,25.1890426098,87.4209551817,67.2250732182,68.0127416949,43.3652248371,59.7957973344,23.7269421567,22.2218433656,62.7803713749,59.1598048833,74.3056562729,49.3069490152,57.476324751
08:30:00,18.1789720794,30.961063071,50.5081783399,70.4540012182,55.0139778017,26.0064832489,21.7333841083,64.3472399641,87.7551247218,53.6071813641,58.2468724476,50.9756864535,26.9084314521,22.6279487191,66.560677405,89.8529708568,71.8030860609,80.1014797253,26.8074053775,29.5339871408,19.9706437212,72.6754714234,79.475405235,75.9017560927,61.1824247426,38.3177230321,14.1559793735,24.4499648176,48.0875010198,75.4014912945,87.773309575,52.8236526876,42.2901720286,17.6256602287,19.4543486096,97.6549116371,71.7381922508,76.9591983412,67.8903038178,40.0989889634,25.5203740265,27.779092072,72.3622960634,66.6005377561,69.5462651799,104.741105346,53.4566494819,32.3297071285,42.4619115918,122.533740353,117.631370123,105.21826756,100.718259977,64.4360758149,21.223860348,21.8131038986,38.9175704189,30.8190037763,24.9373953632,30.150986973,25.6579843058,10.4827104083,12.5716952975,84.4031814807,89.7203001249,402.000000001,65.2164415284,66.2824039857,21.9886184803,20.9977318014,74.1478461788,113.034264582,95.8855458346,69.8362979523,42.1089747809,20.9054214008,24.9417335137,102.879365314,83.9361221364,80.542721077,62.8727605852,41.1549448541,27.7444154408,19.8259431976,60.6521992114,80.6847655461,88.9324134664,70.1413209103,50.4100689268,17.9246510739,33.4345489123,101.009880874,86.4498306031,78.7395866555,49.2272662648,69.0969021345,26.2907093604,25.162179452,79.2683233689,63.8921493601,89.9477483566,64.1893675701,67.488930386
08:45:00,19.1446411446,30.0776872267,70.5845060025,95.4205270302,63.5567428579,27.7952720081,23.3630489851,70.4842130423,123.827527688,62.5135971536,72.4394970073,64.2784643449,31.3038312795,28.1240501928,72.0763186591,113.108582452,85.9906288447,104.37709039,34.0079715199,32.2494902187,22.7545846735,87.2826740187,92.2968670491,92.4276239201,70.6251808553,47.1305728303,14.9250727102,28.8631792791,62.4479969432,94.0151191224,111.995003247,77.2881776634,53.481460861,21.489478908,22.5371918239,127.11625464,87.7235132299,100.662882868,72.4408595681,54.5195555726,26.9141612127,31.1863754361,85.093616456,76.8196612834,78.1182158584,123.376421516,61.8257018811,36.8231492429,45.1814881123,145.026689554,133.782750909,113.930274237,102.081809771,72.6881673631,20.9021350526,21.9629932324,44.2448839978,36.5402976793,27.8012967837,36.6065299726,30.9869220136,11.9098149784,12.3894112323,92.5331576705,95.8618863953,402.000000002,83.9809375745,74.9971077631,21.5947647304,23.5966382222,86.8925139074,124.439412876,120.869983114,75.3132183111,49.3909457289,24.2276018335,28.3110955786,113.824609262,102.45538898,109.49836875,79.717022657,48.7499697214,30.6927085971,25.3497201865,78.8414937061,102.963770401,108.456677844,80.8111699684,60.562510538,21.7000100383,40.3585758669,111.049682916,96.3718574115,81.846252476,58.2053475724,90.635229609,32.4302376868,28.5566816337,94.0741782543,72.3513976876,108.672669737,76.7022480373,74.269380416
09:00:00,21.5552597108,37.6902385398,66.7152091519,96.8477355195,79.0665333862,30.5455679804,26.8162973011,82.4964329678,131.832488524,82.5250881347,79.5994416963,70.2901952529,41.386270647,36.1938821852,88.7910405781,111.189891807,109.063829184,124.761436902,44.5356683717,35.1340582683,27.6170626688,113.275906005,110.104338226,119.377778076,87.1537106876,60.6598405599,18.5754894198,34.4214027149,75.9112608798,122.8686864,126.432323462,108.419955305,68.9123544184,27.8656289783,27.7686322667,130.085600352,115.610148217,104.574670422,80.9416920995,75.5578076812,29.8666398304,34.9439458921,107.835045416,89.7802787171,95.7653310817,127.900662507,76.5456008309,43.397978195,50.1186841659,157.022917221,146.027274347,134.135098983,113.123807591,88.0830801624,20.293245343,22.1443883455,49.5960776682,43.7168435308,33.9591851654,43.0234557848,37.2174084938,13.6660729478,12.0080097664,99.378445437,107.361522347,402.000000003,119.670330114,88.3706753509,25.0894773445,27.3412070836,103.222652556,139.10459596,130.562186416,78.6848901937,64.6308497612,27.3084326059,35.6879015147,123.39649086,123.927762166,116.196542563,103.443326701,62.6206516828,34.8762206567,34.1305601881,92.880243158,117.641193049,115.074758197,94.886381065,72.0950518109,27.1474392877,47.4214031286,124.225854369,103.226614058,86.2418352353,72.1730908283,110.220318449,39.7295155096,35.0923536503,106.266063019,80.9480118256,114.999454565,89.109366925,86.760123407
